"state","sex","year","age","f12","gkv.pop","rate","rate.age.std"
"Baden-Württemberg","men",2009,"15-19",317,275854,1.14915861288943,NA
"Baden-Württemberg","men",2009,"15-64",3612,2772834,1.30263838368976,1.27026076857185
"Baden-Württemberg","men",2009,"20-24",852,280364,3.03890656432352,NA
"Baden-Württemberg","men",2009,"25-29",882,272963,3.23120715994475,NA
"Baden-Württemberg","men",2009,"30-34",516,246911,2.08982183863821,NA
"Baden-Württemberg","men",2009,"35-44",611,598773,1.02042009242234,NA
"Baden-Württemberg","men",2009,"45-64",434,1097969,0.395275276442231,NA
"Baden-Württemberg","men",2010,"15-19",345,268736,1.28378780662062,NA
"Baden-Württemberg","men",2010,"15-64",3930,2777908,1.41473367728521,1.39357267593575
"Baden-Württemberg","men",2010,"20-24",844,284921,2.96222461664812,NA
"Baden-Württemberg","men",2010,"25-29",888,270478,3.28307662730425,NA
"Baden-Württemberg","men",2010,"30-34",634,252731,2.50859609624462,NA
"Baden-Württemberg","men",2010,"35-44",691,571460,1.20918349490778,NA
"Baden-Württemberg","men",2010,"45-64",528,1129582,0.467429544734247,NA
"Baden-Württemberg","men",2011,"15-19",405,265118,1.52762166280675,NA
"Baden-Württemberg","men",2011,"15-64",4118,2785595,1.47831971266462,1.45760576092471
"Baden-Württemberg","men",2011,"20-24",859,287605,2.9867352792893,NA
"Baden-Württemberg","men",2011,"25-29",912,271137,3.36361322873676,NA
"Baden-Württemberg","men",2011,"30-34",655,256017,2.5584238546659,NA
"Baden-Württemberg","men",2011,"35-44",738,547811,1.34717995805123,NA
"Baden-Württemberg","men",2011,"45-64",549,1157907,0.474131342154422,NA
"Baden-Württemberg","men",2012,"15-19",487,263929,1.84519321484187,NA
"Baden-Württemberg","men",2012,"15-64",4546,2811309,1.61704031822898,1.59009902217374
"Baden-Württemberg","men",2012,"20-24",985,290725,3.38808152033709,NA
"Baden-Württemberg","men",2012,"25-29",934,276899,3.37307104756608,NA
"Baden-Württemberg","men",2012,"30-34",752,264254,2.84574689503281,NA
"Baden-Württemberg","men",2012,"35-44",786,531789,1.47802982009782,NA
"Baden-Württemberg","men",2012,"45-64",602,1183713,0.508569222438209,NA
